city,price,person_capacity,cleanliness_rating,bedrooms,city_center_km,metro_distance_km,guest_satisfaction
0.174110362,0.342840105,0.673521351,0.590141418,-0.460131115,0.623688899,-0.335558108,0.296762202
0.56981573,1.214479794,-0.892807373,0.590141418,-0.460131115,1.394834721,-0.450994138,0.447786223
0.965521098,-0.538809199,-0.892807373,0.590141418,-0.460131115,-0.340243377,-0.37884662,0.447786223
0.965521098,-0.849416183,-0.892807373,0.590141418,-0.460131115,0.643461869,2.305041068,-2.119622138
0.965521098,-0.765879155,-0.892807373,-0.866997886,-0.460131115,0.58414296,-0.003679523,-0.156309862
-1.40871111,-1.050535286,0.673521351,0.590141418,1.024162805,-1.279459442,-0.436564634,0.447786223
0.56981573,1.721479119,-0.892807373,0.590141418,-0.460131115,0.163967352,-0.826161234,0.900858287
-1.40871111,-1.035057457,2.239850076,0.590141418,2.508456726,-0.730759531,-0.768443219,0.900858287
-0.221595006,-0.949852159,-0.109643011,-0.866997886,-0.460131115,-0.117797467,0.660077647,-0.911429968
0.965521098,0.331780099,2.239850076,0.590141418,1.024162805,0.589086202,-0.624148182,0.900858287
-1.40871111,-1.03867204,2.239850076,0.590141418,2.508456726,0.905453719,-0.609718679,0.749834265
0.56981573,0.753419656,-0.892807373,-2.324137189,-1.944425036,0.460561899,0.385917076,-0.609381926
1.361226466,0.336568649,-0.892807373,0.590141418,-0.460131115,-0.77030547,-0.566430168,0.598810244
0.174110362,0.003841653,1.456685713,-0.866997886,2.508456726,-0.088138013,0.212763032,-0.307333883
0.174110362,-0.073701964,-0.109643011,-0.866997886,-0.460131115,-0.068365043,0.385917076,-0.609381926
0.965521098,-0.411155723,-0.892807373,0.590141418,-0.460131115,-0.804908167,-0.523141657,0.598810244
-0.617300374,-0.812961415,-0.892807373,-0.866997886,-0.460131115,-0.7505325,0.732225165,-0.911429968
0.965521098,-0.797390904,-0.892807373,-0.866997886,-0.460131115,-0.99275138,0.212763032,-0.307333883
0.965521098,-0.623149469,0.673521351,0.590141418,-0.460131115,-0.439108226,-0.335558108,0.296762202
-1.804416478,1.828186551,-0.892807373,0.590141418,-0.460131115,-0.221605559,-0.81173173,0.900858287
0.174110362,0.352602568,0.673521351,0.590141418,-0.460131115,-0.206775831,-0.37884662,0.447786223
0.965521098,-0.807863926,-0.892807373,0.590141418,-0.460131115,-0.389675802,0.703366158,-0.911429968
-1.013005742,0.610319244,-0.892807373,-0.866997886,-0.460131115,0.104648443,0.155045017,-0.307333883
-0.221595006,-0.902955262,1.456685713,0.590141418,1.024162805,-0.60717847,-0.595289175,0.749834265
0.965521098,-0.51264209,0.673521351,0.590141418,-0.460131115,-0.32541365,-0.37884662,0.447786223
0.56981573,1.01407125,-0.109643011,0.590141418,-0.460131115,-0.468767681,-0.306699101,0.14573818
-1.40871111,-1.085383573,-0.109643011,-0.866997886,1.024162805,0.11947817,0.198333528,-0.307333883
0.174110362,0.818513044,1.456685713,0.590141418,-0.460131115,-0.557746045,-0.523141657,0.598810244
0.965521098,-0.818336948,-0.892807373,0.590141418,-0.460131115,-0.463824439,-0.075827042,-0.156309862
0.965521098,-0.685524195,0.673521351,0.590141418,-0.460131115,-0.127683952,-0.162404064,-0.005285841
0.965521098,-0.479060452,-0.892807373,0.590141418,-0.460131115,0.687951051,-0.53757116,0.598810244
-1.40871111,-1.066878144,-0.109643011,0.590141418,-0.460131115,0.416072717,-0.090256546,-0.156309862
0.965521098,-0.568189271,-0.892807373,-0.866997886,-0.460131115,0.76704293,-0.393276123,0.447786223
0.56981573,0.646588649,-0.892807373,-3.781276493,-0.460131115,4.321234248,4.440607615,-4.384982457
-1.40871111,-1.054242551,0.673521351,0.590141418,-0.460131115,0.391356504,-0.349987612,0.296762202
1.361226466,0.154727321,-0.892807373,0.590141418,-1.944425036,-0.987808138,-0.321128605,0.14573818
1.361226466,0.359584583,-0.892807373,0.590141418,-0.460131115,0.425959201,-0.609718679,0.749834265
